img,individual,entry,rot,F,PixAcc
./results/DESIGNATE/R_0.17881364116862525_0.4635558413710632.png,"(0.17881364116862525, 0.4635558413710632)",1788,166,"(0.21238352430828064, 24.585510603727375)",0
./results/DESIGNATE/R_0.20445224973151743_0.9836786887752317.png,"(0.20445224973151743, 0.9836786887752317)",2044,354,"(0.3915905640098741, 25.261062390322707)",0
./results/DESIGNATE/R_0.42862944122587787_0.9869711302992898.png,"(0.42862944122587787, 0.9869711302992898)",4286,355,"(0.1442474989125707, 24.841865971197137)",0
./results/DESIGNATE/R_0.14785808985794374_0.8617019384955285.png,"(0.14785808985794374, 0.8617019384955285)",1478,310,"(0.21684686793612243, 16.17804981072295)",0
./results/DESIGNATE/R_0.1867516621597053_0.9417143303946793.png,"(0.1867516621597053, 0.9417143303946793)",1867,339,"(0.29701159253944776, 16.67139313817711)",0
./results/DESIGNATE/R_0.26271723008034525_0.8732018855749342.png,"(0.26271723008034525, 0.8732018855749342)",2627,314,"(0.20649907270389886, 22.979104226234746)",0
./results/DESIGNATE/R_0.2112474246439817_0.946974678808587.png,"(0.2112474246439817, 0.946974678808587)",2112,340,"(0.22402585505631975, 27.63176321390373)",0
./results/DESIGNATE/R_0.20772879951717343_0.9869711302992898.png,"(0.20772879951717343, 0.9869711302992898)",2077,355,"(0.25913944830424307, 28.79622885367776)",0
./results/DESIGNATE/R_0.1683489377571394_0.8523725932281535.png,"(0.1683489377571394, 0.8523725932281535)",1683,306,"(0.24213910040334274, 23.26595709608364)",0
./results/DESIGNATE/R_0.20807319894229592_0.48847065441969506.png,"(0.20807319894229592, 0.48847065441969506)",2080,175,"(0.1151162825833267, 28.792793475899554)",0
./results/DESIGNATE/R_0.20436975740390037_0.8620844336293138.png,"(0.20436975740390037, 0.8620844336293138)",2043,310,"(0.20458598820386445, 14.925644312017823)",0
./results/DESIGNATE/R_0.178414429680759_0.47297410461834627.png,"(0.178414429680759, 0.47297410461834627)",1784,170,"(0.27679819625934615, 25.524773606759368)",0
./results/DESIGNATE/R_0.48701237650983153_0.9841628510620669.png,"(0.48701237650983153, 0.9841628510620669)",4870,354,"(0.22188779807720235, 24.93258467514199)",0
./results/DESIGNATE/R_0.12039473273676005_0.8401831276026411.png,"(0.12039473273676005, 0.8401831276026411)",1203,302,"(0.3001924155968472, 19.146141393368413)",0
./results/DESIGNATE/R_0.17807003025563647_0.7395515803981986.png,"(0.17807003025563647, 0.7395515803981986)",1780,266,"(0.07405835663150087, 12.809651888878456)",0
./results/DESIGNATE/R_0.17636504809299922_0.9869711302992898.png,"(0.17636504809299922, 0.9869711302992898)",1763,355,"(0.22228472847284728, 20.900288035501724)",0
./results/DESIGNATE/R_0.20779616524472372_0.4679037975366568.png,"(0.20779616524472372, 0.4679037975366568)",2077,168,"(0.3183362957587317, 16.94233973417586)",0
./results/DESIGNATE/R_0.1783470639532087_0.8574416518984278.png,"(0.1783470639532087, 0.8574416518984278)",1783,308,"(0.22507120962378185, 16.197924859154313)",0
./results/DESIGNATE/R_0.1784353678540879_0.9869711302992898.png,"(0.1784353678540879, 0.9869711302992898)",1784,355,"(0.29615635290520653, 29.521888093433613)",0
./results/DESIGNATE/R_0.20816307863261482_0.8620844336293138.png,"(0.20816307863261482, 0.8620844336293138)",2081,310,"(0.21709112614405093, 22.43878940502318)",0
./results/DESIGNATE/R_0.20807319894229592_0.4680868732880765.png,"(0.20807319894229592, 0.4680868732880765)",2080,168,"(0.25579229754457206, 17.942110664650745)",0
./results/DESIGNATE/R_0.14825313723833655_0.8620844336293138.png,"(0.14825313723833655, 0.8620844336293138)",1482,310,"(0.2240145231584622, 12.83192306963662)",0
./results/DESIGNATE/R_0.21079959471791318_0.8620844336293138.png,"(0.21079959471791318, 0.8620844336293138)",2107,310,"(0.16872519512641415, 18.89665726767812)",0
./results/DESIGNATE/R_0.30338179433480106_0.7395515803981986.png,"(0.30338179433480106, 0.7395515803981986)",3033,266,"(0.23471333344, 27.840543037921414)",0
